id,ano,dept,municipio,Modalidad,presuntoRes,desPresuntoRes,num
291436,2001,Antioquia,SANTA ROSA DE OSOS,Desconocida,Grupo Paramilitar,No Identificado,5
291437,2001,Cesar,AGUST?N CODAZZI,Retenci�n/Ejecuci�n,Grupo Armado No Identificado,No aplica,4
291438,2001,"Bogotá D.C.","Bogotá D.C.",Asalto,Grupo Armado No Identificado,No aplica,5
291442,2001,Norte de Santander,TIB?,Ret�n,Guerrilla,FARC,5
291443,2001,Antioquia,SAN CARLOS,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291444,2001,Antioquia,EL SANTUARIO,Asalto,Grupo Paramilitar,No Identificado,4
291445,2001,Antioquia,COCORN?,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,8
291446,2001,Bolívar,SIMIT?,Asesinato Circunstancial,Grupo Paramilitar,No Identificado,4
291447,2001,Cundinamarca,CHIPAQUE,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291448,2001,Antioquia,LA PINTADA,Asalto,Grupo Paramilitar,No Identificado,5
291449,2001,Putumayo,ORITO,Asalto,Grupo Armado No Dirimido,,4
291450,2001,Cauca,SILVIA,Desconocida,Guerrilla,FARC,4
291451,2001,Cundinamarca,GACHET?,Retenci�n/Ejecuci�n,Guerrilla,FARC,4
291452,2001,Cauca,BALBOA,Reuni�n P�blica,Grupo Paramilitar,No Identificado,4
291453,2001,Cundinamarca,EL COLEGIO,Desconocida,Grupo Armado No Identificado,No aplica,4
291454,2001,Antioquia,SAN RAFAEL,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,7
291456,2001,Cauca,CORINTO,Desconocida,Guerrilla,FARC,6
291457,2001,Antioquia,GIRARDOTA,Asalto,Grupo Paramilitar,No Identificado,4
291458,2001,Córdoba,TIERRALTA,Ruta,Guerrilla,FARC,18
291459,2001,Magdalena,ZONA BANANERA,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291460,2001,Antioquia,MEDELL?N,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,6
291462,2001,Antioquia,RIONEGRO,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291463,2001,Cauca,EL TAMBO,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291464,2001,Santander,Sucre,Desconocida,Guerrilla,ELN,4
291465,2001,Cauca,EL TAMBO,Desconocida,Grupo Paramilitar,No Identificado,4
291466,2001,Cesar,BOSCONIA,Ruta,Grupo Paramilitar,No Identificado,5
291467,2001,Antioquia,MONTEBELLO,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,8
291469,2001,Magdalena,CI�NAGA,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291470,2001,Antioquia,MONTEBELLO,Asalto,Grupo Paramilitar,No Identificado,6
291471,2001,Antioquia,AMAG?,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291472,2001,Antioquia,MONTEBELLO,Incursi�n,Grupo Paramilitar,No Identificado,6
291474,2001,Norte de Santander,EL ZULIA,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,6
291475,2001,Boyacá,LABRANZAGRANDE,Interceptaci�n,Grupo Paramilitar,Autodefensas Campesinas del Casanare (Buitrague�os),15
291477,2001,La Guajira,SAN JUAN DEL Cesar,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291478,2001,Norte de Santander,TIB?,Ruta,Grupo Armado No Dirimido,,7
291479,2001,Cesar,AGUACHICA,Asalto,Grupo Paramilitar,No Identificado,5
291480,2001,Córdoba,PUERTO LIBERTADOR,Asalto,Guerrilla,FARC,4
291481,2001,Antioquia,JARD?N,Incursi�n,Guerrilla,FARC,5
291482,2001,Antioquia,SONS?N,Ruta,Guerrilla,FARC,4
291483,2001,Putumayo,MOCOA,Ruta,Grupo Paramilitar,No Identificado,4
291484,2001,Antioquia,CONCEPCI?N,Ruta,Grupo Paramilitar,No Identificado,5
291485,2001,Caldas,SAMAN?,Reuni�n P�blica,Guerrilla,FARC,15
291486,2001,Antioquia,TARAZ?,Asalto,Guerrilla,FARC,25
291488,2001,Antioquia,LA PINTADA,Retenci�n/Ejecuci�n,Grupo Armado No Identificado,No aplica,4
291490,2001,Antioquia,SAN CARLOS,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,5
291491,2001,Magdalena,SITIONUEVO,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,6
