IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,COD_DANE_MUN,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE1,DESCRIPCION_PRESUNTO_RESPONSABLE1,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,NumeroVictimasCaso,Estado
359690,,0,0,0,18756,AMAZONIA SUR-ORIENTAL,CAQUET?,SOLANO,Desconocida,ND,Guerrilla,No Identificada,0,0,0,0,0,0,0,0,0,,,1,Publicado
359691,,0,0,0,52540,PATIA,NARI•O,POLICARPA,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359692,,0,0,0,76001,SUR DEL VALLE,VALLE DEL CAUCA,CALI,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359693,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359694,,0,0,0,52699,OCCIDENTE DE NARI•O,NARI•O,SANTACRUZ,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359695,,0,0,0,19142,NORTE DEL CAUCA,CAUCA,CALOTO,Desconocida,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
359696,CR016127,0,0,0,5001,VALLE DE ABURRA,ANTIOQUIA,MEDELL?N,Desconocida,ND,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,0,0,0,0,0,,,1,Publicado
359697,CR010059,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
359698,CR048387,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,Arma de Fuego,Desconocido,No aplica,0,0,0,0,0,0,0,0,1,,,1,Publicado
359699,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Asalto,Arma Corto Punzante,Grupo Paramilitar,No Identificado,0,1,0,0,0,0,0,0,0,,,1,Publicado
359700,CR011139,0,0,0,68377,PROVINCIA DE VELEZ,SANTANDER,LA BELLEZA,Coerci¢n,Uso de Qu°micos y T¢xicos,Grupo Paramilitar,No Identificado,0,1,0,0,1,1,0,0,0,,,1,Publicado
359701,CR037053,0,0,0,73168,SUR DEL TOLIMA,TOLIMA,CHAPARRAL,Asalto,ND,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,1,Publicado
359702,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,ND,Grupo Paramilitar,Autodefensas de Hern†n Giraldo,0,1,0,0,1,0,0,1,1,,,1,Publicado
359703,CR040005,0,0,0,73226,SUMAPAZ,TOLIMA,CUNDAY,Retenci¢n,ND,Guerrilla,No Identificada,1,1,0,0,0,0,0,0,1,Trabajo DomÇstico Forzado,,1,Publicado
359704,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,ND,Guerrilla,No Identificada,0,0,0,0,0,0,0,0,0,,,1,Publicado
359705,,0,0,0,13268,SUR DE BOLIVAR,BOL?VAR,EL PE•?N,Desconocida,ND,Guerrilla,No Identificada,0,0,0,0,0,0,0,0,0,,,1,Publicado
