id,ano,dept,municipio,presuntoRes,desPresuntoRes,num
352819,2011,Nariño,ANCUY?,Desconocido,No aplica,1
352820,2011,La Guajira,MAICAO,Guerrilla,No Identificada,1
352821,2011,Arauca,Arauca,Grupo Posdesmovilización,No Identificado,1
352822,2011,Córdoba,TIERRALTA,Guerrilla,No Identificada,1
352824,2011,Nariño,POLICARPA,Desconocido,No aplica,1
352825,2011,Meta,PUERTO RICO,Grupo Posdesmovilización,No Identificado,1
352827,2011,Bolívar,NOROS?,Guerrilla,No Identificada,1
352828,2011,Valle del Cauca,BUENAVENTURA,Desconocido,No aplica,1
352829,2011,Huila,NEIVA,Guerrilla,FARC,1
352830,2011,Valle del Cauca,BUENAVENTURA,Guerrilla,No Identificada,1
352831,2011,Valle del Cauca,BUENAVENTURA,Guerrilla,No Identificada,1
352832,2011,Norte de Santander,EL CARMEN,Guerrilla,No Identificada,1
352833,2011,Cauca,ARGELIA,Guerrilla,FARC,1
352834,2011,Chocó,R?O IR?,Guerrilla,ELN,1
352835,2011,Meta,VISTAHERMOSA,Guerrilla,No Identificada,1
352836,2011,Meta,VISTAHERMOSA,Guerrilla,FARC,1
352837,2011,Antioquia,SEGOVIA,Desconocido,No aplica,1
352838,2011,Antioquia,CAREPA,Desconocido,No aplica,1
352839,2011,Nariño,POLICARPA,Grupo Posdesmovilización,No Identificado,1
352840,2011,Chocó,RIOSUCIO,Guerrilla,FARC,1
352841,2011,Magdalena,ARIGUAN?,Desconocido,No aplica,1
352842,2011,Norte de Santander,SAN CALIXTO,Guerrilla,No Identificada,1
352843,2011,Caquetá,SOLANO,Guerrilla,No Identificada,1
352844,2011,Casanare,LA SALINA,Desconocido,No aplica,1
352845,2011,Cesar,PAILITAS,Guerrilla,No Identificada,1
352846,2011,Cauca,POPAY?N,Desconocido,No aplica,1
352847,2011,Antioquia,CaucaSIA,Guerrilla,FARC,1
352848,2011,Nariño,MALLAMA,Guerrilla,ELN,2
