id,ano,dept,municipio,Modalidad,presuntoRes,desPresuntoRes,num
185778,1994,Magdalena,FUNDACI?N,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185779,1994,Norte de Santander,OCA�A,Desconocida,Desconocido,No aplica,0
185780,1994,Antioquia,SAN ROQUE,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185781,1994,Santander,GIR?N,Quema de Veh�culos,Guerrilla,No Identificada,0
185782,1994,Antioquia,BARBOSA,Ataque a Propiedad,Desconocido,No aplica,0
185783,1994,Antioquia,SANTA B?RBARA,Ataque a Propiedad,Desconocido,No aplica,0
185784,1994,Boyacá,SANTANA,Ataque a Propiedad,Guerrilla,No Identificada,0
185785,1994,Antioquia,AMALFI,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185786,1994,Antioquia,TURBO,Ataque a Propiedad,Desconocido,No aplica,0
185787,1994,Antioquia,Nariño,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185788,1994,Bolívar,MAGANGU�,Quema de Veh�culos,Grupo Paramilitar,No Identificado,0
185789,1994,Antioquia,RIONEGRO,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185790,1994,Córdoba,VALENCIA,Ataque a Propiedad,Grupo Paramilitar,Autodefensas Campesinas de C�rdoba y Urab� (ACCU),0
185791,1994,Putumayo,ORITO,Ataque a Propiedad,Guerrilla,FARC,0
185792,1995,Meta,MAPIRIP?N,Ataque a Propiedad,Guerrilla,FARC,0
185793,1995,Valle del Cauca,DAGUA,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
185794,1995,Valle del Cauca,DAGUA,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
185795,1995,Cauca,TORIB?O,Acci�n B�lica,Guerrilla,No Identificada,0
185796,1995,Cauca,TORIB?O,Acci�n B�lica,Guerrilla,No Identificada,0
185798,1995,Córdoba,VALENCIA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185799,1995,Antioquia,SAN PEDRO DE URAB?,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185800,1995,Cesar,SAN MART?N,Ataque a Propiedad,Guerrilla,No Identificada,0
185801,1995,Cauca,POPAY?N,Ataque a Propiedad,Guerrilla,Disidencia EPL,0
185802,1995,Antioquia,TURBO,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185803,1995,Antioquia,MUTAT?,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
185804,1995,Cesar,SAN MART?N,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185806,1995,Antioquia,NECOCL?,Quema de Veh�culos,Desconocido,No aplica,0
185807,1995,Sucre,GUARANDA,Ataque a Propiedad,Guerrilla,ELN,0
185808,1995,Bolívar,MAGANGU�,Quema de Veh�culos,Desconocido,No aplica,0
185809,1995,Antioquia,RIONEGRO,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
185810,1995,Antioquia,APARTAD?,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185811,1995,Antioquia,APARTAD?,Quema de Veh�culos,Grupo Armado No Identificado,No aplica,0
185812,1995,Antioquia,APARTAD?,Quema de Veh�culos,Desconocido,No aplica,0
185813,1995,Risaralda,QUINCH?A,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185814,1995,Cesar,PELAYA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185815,1995,Antioquia,SAN JUAN DE URAB?,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185817,1995,Magdalena,ZONA BANANERA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185818,1995,Magdalena,SANTA MARTA,Quema de Veh�culos,Grupo Paramilitar,Otro,0
185819,1995,Putumayo,PUERTO GUZM?N,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185820,1995,Cesar,PAILITAS,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185821,1996,Caquetá,SAN VICENTE DEL CAGU?N,Ataque a Propiedad,Guerrilla,FARC,0
185822,1996,Chocó,RIOSUCIO,Ataque a Propiedad,Guerrilla,FARC,0
185823,1996,Antioquia,EL CARMEN DE VIBORAL,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185824,1996,Magdalena,EL BANCO,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185825,1996,Córdoba,VALENCIA,Ataque a Propiedad,Desconocido,No aplica,0
185826,1996,Antioquia,ZARAGOZA,Ataque a Propiedad,Guerrilla,No Identificada,0
185827,1996,Antioquia,AMALFI,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185828,1996,Córdoba,TIERRALTA,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185829,1996,Antioquia,TURBO,Ataque a Propiedad,Desconocido,No aplica,0
185830,1996,Antioquia,SANTA ROSA DE OSOS,Ataque a Propiedad,Desconocido,No aplica,0
185831,1996,Antioquia,SEGOVIA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185832,1996,Antioquia,YOLOMB?,Ataque a Propiedad,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0
185833,1996,Antioquia,TURBO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185834,1996,Antioquia,LA ESTRELLA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185835,1996,Bolívar,EL CARMEN DE Bolívar,Quema de Veh�culos,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0
185836,1996,Arauca,ARAUQUITA,Ataque a Propiedad,Guerrilla,FARC,0
185837,1996,Meta,VILLAVICENCIO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185838,1996,Meta,VILLAVICENCIO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185839,1996,Magdalena,TENERIFE,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185840,1996,Antioquia,EB�JICO,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185841,1996,Cesar,PAILITAS,Ataque a Propiedad,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0
185842,1996,Norte de Santander,OCA�A,Ataque a Propiedad,Desconocido,No aplica,0
185843,1996,Antioquia,MUTAT?,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185844,1996,Valle del Cauca,CALI,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185845,1996,Valle del Cauca,CALI,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185846,1996,Antioquia,AMALFI,Quema de Veh�culos,Guerrilla,ELN,0
185847,1996,Bolívar,ACH?,Ataque a Propiedad,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0
185848,1996,Magdalena,FUNDACI?N,Ataque a Propiedad,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0
185850,1996,Cesar,VALLEDUPAR,Ataque a Propiedad,Grupo Paramilitar,Autodefensas Campesinas de C�rdoba y Urab� (ACCU),0
185851,1996,Antioquia,ARBOLETES,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185852,1996,Chocó,RIOSUCIO,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
185853,1996,Sucre,MORROA,Ataque a Propiedad,Grupo Paramilitar,Autodefensas Campesinas de C�rdoba y Urab� (ACCU),0
185854,1996,Antioquia,BELLO,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185855,1996,Antioquia,YOLOMB?,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185856,1996,Antioquia,APARTAD?,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185857,1996,Nariño,PASTO,Desconocida,Grupo Armado No Identificado,No aplica,0
185858,1996,Magdalena,ZONA BANANERA,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185859,1996,Chocó,RIOSUCIO,Ataque a Propiedad,Guerrilla,FARC,0
185860,1997,Caquetá,SAN VICENTE DEL CAGU?N,Ataque a Propiedad,Guerrilla,FARC,0
185861,1997,Antioquia,SAN ROQUE,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185862,1997,Antioquia,SEGOVIA,Desconocida,Grupo Armado No Identificado,No aplica,0
185863,1997,Bolívar,MAGANGU�,Ataque a Propiedad,Desconocido,No aplica,0
185864,1997,Magdalena,FUNDACI?N,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185865,1997,Antioquia,URRAO,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185866,1997,Sucre,MORROA,Ataque a Propiedad,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0
185867,1997,Magdalena,SALAMINA,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185868,1997,Antioquia,MUTAT?,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185869,1997,Antioquia,G?MEZ PLATA,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
185870,2002,Chocó,RIOSUCIO,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185871,1997,Antioquia,APARTAD?,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185872,1997,Magdalena,CI�NAGA,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185873,1997,Antioquia,APARTAD?,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185874,1997,Magdalena,ZONA BANANERA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185875,1997,Sucre,SAMPU�S,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185876,1997,Bolívar,MAGANGU�,Quema de Veh�culos,Guerrilla,ELN/ERP,0
185877,1997,Caldas,ANSERMA,Ataque a Propiedad,Desconocido,No aplica,0
185878,1997,Antioquia,SANTO DOMINGO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185879,1997,Sucre,SINCELEJO,Ataque a Propiedad,Desconocido,No aplica,0
185880,1997,Chocó,RIOSUCIO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185881,1997,Cesar,VALLEDUPAR,Ataque a Propiedad,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0
185882,1997,Antioquia,G?MEZ PLATA,Ataque a Propiedad,Desconocido,No aplica,0
185883,1997,Sucre,CAIMITO,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185884,1997,Magdalena,SABANAS DE SAN ?NGEL,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185885,1997,Antioquia,APARTAD?,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185886,1997,Santander,BARRANCABERMEJA,Quema de Veh�culos,Desconocido,No aplica,0
185887,1997,Cesar,VALLEDUPAR,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185888,1997,Antioquia,RIONEGRO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185889,1997,Antioquia,TURBO,Quema de Veh�culos,Guerrilla,No Identificada,0
185890,1997,Antioquia,GIRARDOTA,Ataque a Propiedad,Desconocido,No aplica,0
185891,1997,Antioquia,CA�ASGORDAS,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185892,1997,Sucre,CHAL?N,Ataque a Propiedad,Guerrilla,FARC,0
185893,1997,Magdalena,CI�NAGA,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185894,1997,Magdalena,CI�NAGA,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185895,1997,Antioquia,SANTO DOMINGO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
