id,ano,dept,municipio,presuntoRes,desPresuntoRes,num
34875,1998,Cundinamarca,QUIPILE,Guerrilla,FARC,0
34876,1998,Nariño,LEIVA,Guerrilla,FARC,1
34877,1998,Santander,ALBANIA,Guerrilla,FARC,2
34879,1998,Norte de Santander,HACAR?,Guerrilla,FARC,17
34880,1998,Vaupés,MIT?,Guerrilla,FARC,46
34881,1998,Tolima,PLANADAS,Guerrilla,FARC,31
34882,1998,Cauca,ALMAGUER,Guerrilla,ELN,2
34883,1998,Cauca,CALDONO,Guerrilla,FARC,0
34884,1998,Antioquia,COCORN?,Guerrilla,FARC,0
34885,1998,Antioquia,SAN FRANCISCO,Guerrilla,FARC,12
34886,1998,Huila,ALGECIRAS,Guerrilla,FARC,1
34887,1998,Nariño,SAN PABLO,Guerrilla,FARC,0
34888,1998,Huila,SALADOBLANCO,Guerrilla,FARC,1
34889,1998,Cesar,BECERRIL,Guerrilla,FARC,0
34890,1998,Antioquia,FRONTINO,Guerrilla,FARC,1
34891,1999,Cauca,CALOTO,Guerrilla,FARC,0
34892,1999,Cesar,PUEBLO BELLO,Guerrilla,FARC,3
34893,1999,Cundinamarca,TIBACUY,Guerrilla,FARC,2
34894,1999,Tolima,VILLAHERMOSA,Guerrilla,ELN,0
34895,1999,Cauca,PIENDAM?,Guerrilla,FARC,0
34896,1999,Cauca,Santander DE QUILICHAO,Guerrilla,FARC,0
34897,1999,Valle del Cauca,DAGUA,Guerrilla,FARC,2
34899,1999,Antioquia,SAN FRANCISCO,Guerrilla,FARC,7
34900,1999,Antioquia,VEGACH?,Guerrilla,FARC/ELN,2
34901,1999,Boyacá,CHISCAS,Guerrilla,FARC,0
34902,1999,Cauca,CAJIB?O,Guerrilla,FARC,0
34903,1999,Cauca,MORALES,Guerrilla,FARC,0
34904,1999,Arauca,CRAVO NORTE,Guerrilla,FARC,0
34905,1999,Chocó,ACAND?,Guerrilla,FARC,1
34906,1999,Antioquia,DABEIBA,Guerrilla,FARC,0
34907,1999,Boyacá,LA UVITA,Guerrilla,FARC,1
34908,1999,Tolima,SAN ANTONIO,Guerrilla,FARC,0
34909,1999,Cauca,ROSAS,Guerrilla,FARC,0
34910,1999,Tolima,SAN ANTONIO,Guerrilla,FARC,0
34911,1999,Casanare,PORE,Guerrilla,FARC,2
34912,1999,Cauca,SILVIA,Guerrilla,FARC,2
34913,1999,Tolima,SAN ANTONIO,Guerrilla,FARC,0
34914,1999,Santander,CALIFORNIA,Guerrilla,ELN,0
34915,1999,Cesar,PUEBLO BELLO,Guerrilla,FARC,6
34916,1999,Boyacá,MONGUA,Guerrilla,ELN,1
34917,1999,Tolima,RIOBLANCO,Guerrilla,FARC,0
34918,1999,Santander,CONTRATACI?N,Guerrilla,FARC,0
34920,1999,Huila,ALGECIRAS,Guerrilla,FARC,1
34921,1999,Meta,PUERTO LLERAS,Guerrilla,FARC,43
34924,1999,Antioquia,Nariño,Guerrilla,FARC,19
34926,1999,Santander,ONZAGA,Guerrilla,FARC,0
34927,1999,Tolima,CASABIANCA,Guerrilla,ELN,1
34928,1999,Cauca,CAJIB?O,Guerrilla,FARC,0
34930,1999,Casanare,HATO COROZAL,Guerrilla,FARC,0
34931,1999,Cauca,TIMB?O,Guerrilla,FARC,0
34932,1999,Huila,BARAYA,Guerrilla,FARC,6
34933,1999,Boyacá,PAZ DE R?O,Guerrilla,FARC,0
34934,1999,Cundinamarca,QUIPILE,Guerrilla,FARC,0
34936,1999,Huila,GIGANTE,Guerrilla,FARC,4
34937,1999,Norte de Santander,EL CARMEN,Guerrilla,FARC/ELN,3
34938,1999,Caquetá,CURILLO,Guerrilla,FARC,3
34939,1999,Huila,ALGECIRAS,Guerrilla,FARC,6
34941,1999,Chocó,JURAD?,Guerrilla,FARC,25
34943,2000,Nariño,PUERRES,Guerrilla,FARC,4
34944,2000,Nariño,Córdoba,Guerrilla,FARC,0
34945,2000,Cauca,PAT?A,Guerrilla,FARC,0
34946,2000,Cauca,Santander DE QUILICHAO,Guerrilla,FARC,0
34947,2000,Tolima,ALPUJARRA,Guerrilla,FARC,0
34948,2000,Antioquia,VIG?A DEL FUERTE,Guerrilla,FARC,33
34950,2000,Huila,ALGECIRAS,Guerrilla,FARC,4
34952,2000,Valle del Cauca,PRADERA,Guerrilla,FARC,0
34953,2000,Huila,SANTA MAR?A,Guerrilla,FARC,0
34954,2000,Bolívar,MONTECRISTO,Guerrilla,FARC,2
34956,2000,Cauca,PUERTO TEJADA,Guerrilla,FARC,0
34957,2000,Caldas,PENSILVANIA,Guerrilla,FARC,16
34958,2000,Chocó,EL CARMEN DE ATRATO,Guerrilla,FARC,13
34960,2000,Cauca,Santander DE QUILICHAO,Guerrilla,FARC,3
34962,2000,Valle del Cauca,PALMIRA,Guerrilla,"Disidencia M-19 ""Jaime Bateman Cay�n""",0
34971,2000,Cundinamarca,QUIPILE,Guerrilla,FARC,0
34972,2000,Valle del Cauca,BUENAVENTURA,Guerrilla,FARC,6
34978,2000,Nariño,ALB?N,Guerrilla,FARC,3
34979,2000,Antioquia,YOLOMB?,Guerrilla,ELN,4
34980,2000,Cundinamarca,GUAYABAL DE S?QUIMA,Guerrilla,FARC,2
34981,2001,Nariño,SAN PABLO,Guerrilla,FARC,6
34982,2001,Nariño,OLAYA HERRERA,Guerrilla,FARC,3
34983,2001,Cauca,ALMAGUER,Guerrilla,FARC,0
34987,2001,Huila,ALGECIRAS,Guerrilla,FARC,0
34988,2001,Antioquia,SONS?N,Guerrilla,FARC,0
34991,2001,Tolima,SANTA ISABEL,Guerrilla,FARC,0
34992,2001,Tolima,ANZO?TEGUI,Guerrilla,FARC,25
34993,2001,Sucre,LOS PALMITOS,Agente del Estado,Infanter�a de Marina,2
34994,2001,Huila,ACEVEDO,Guerrilla,FARC,1
34995,2001,Caquetá,LA MONTA�ITA,Guerrilla,FARC,0
34996,2001,Nariño,ALB?N,Guerrilla,FARC,0
34997,2001,Valle del Cauca,FLORIDA,Guerrilla,FARC,0
34999,2001,Tolima,IBAGU�,Guerrilla,FARC,6
35000,2001,QUINDIO,PIJAO,Guerrilla,FARC,0
35001,2001,Caldas,RIOSUCIO,Guerrilla,FARC,1
35002,2001,Cauca,INZ?,Guerrilla,FARC,3
35004,2002,Nariño,ALB?N,Guerrilla,FARC,10
35006,2002,Tolima,MURILLO,Guerrilla,FARC,0
35007,2002,Boyacá,AQUITANIA,Guerrilla,FARC,2
35009,2002,Nariño,FUNES,Guerrilla,FARC,4
35011,2002,Tolima,VENADILLO,Guerrilla,FARC,0
35012,2002,Nariño,LA CRUZ,Guerrilla,FARC,0
35013,2002,Nariño,COL?N,Guerrilla,FARC,1
35014,2002,Antioquia,COCORN?,Guerrilla,FARC,1
35015,2002,Norte de Santander,TIB?,Guerrilla,FARC,1
35016,2002,Nariño,POTOS?,Guerrilla,FARC,0
35018,2002,Huila,OPORAPA,Guerrilla,FARC,2
35022,2002,Nariño,CUASP?D,Guerrilla,FARC,10
35023,2002,Nariño,LA TOLA,Guerrilla,FARC,4
35024,2002,Caquetá,MIL?N,Guerrilla,FARC,0
35027,2002,Bolívar,Córdoba,Guerrilla,FARC,0
35028,2002,Tolima,CASABIANCA,Guerrilla,FARC,0
35033,2003,Nariño,SAMANIEGO,Guerrilla,ELN,4
35034,2003,Nariño,SAMANIEGO,Guerrilla,ELN,4
35036,2005,Nariño,SANTACRUZ,Guerrilla,FARC/ELN,2
35037,2005,Cauca,TORIB?O,Guerrilla,FARC,3
35038,2005,Nariño,SAMANIEGO,Guerrilla,FARC,0
